year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2025,NUS,Faculty of Arts & Social Sciences,Bachelor of Arts,60.0,40.0,NA,NA,NA,NA,NA,NA
2025,NUS,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),85.0,66.2,4531,4654,4783,4680,4398,5038
2025,NUS,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.4,71.9,4430,4300,4578,4500,4000,5000
2025,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100.0,100.0,4553,4550,4595,4550,4500,4597
2025,NUS,Faculty of Law,Bachelor of Laws,NA,NA,NA,NA,NA,NA,NA,NA
2025,NUS,Faculty of Science,Bachelor of Science,NA,NA,NA,NA,NA,NA,NA,NA
2025,NUS,Faculty of Science,Bachelor of Science (Hons),87.4,71.2,4349,4000,4531,4250,3950,4850
2025,NUS,Faculty of Science,Bachelor of Pharmacy (Hons),97.4,97.4,4240,4200,4598,4475,4200,4986
2025,NUS,Faculty of Science,Bachelor of Science (Data Science and Analytics),82.4,65.1,5234,5000,5380,5000,4450,6000
2025,NUS,NUS Business School,Bachelor of Business Administration,95.0,82.5,6563,6000,6962,6000,4000,9000
2025,NUS,NUS Business School,Bachelor of Business Administration (Hons),91.1,80.2,5288,4669,5463,4860,4300,6000
2025,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),NA,NA,NA,NA,NA,NA,NA,NA
2025,NUS,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),96.2,90.9,4730,4350,4790,4375,4350,4999
2025,NUS,NUS Business School,Bachelor of Science (Real Estate),92.9,81.4,4331,4000,4533,4200,3850,5000
2025,NUS,School of Computing,Bachelor of Computing (Computer Science),90.9,84.1,6485,6250,6674,6400,5300,7500
2025,NUS,School of Computing,Bachelor of Computing (Information Security),88.0,84.0,5682,5500,6071,6000,5150,6800
